species_code,scientific_name,common_name,presentation_name,species_assigned_value
AB,Abies species,Fir,Fir,CEL OTHER
ABBA,Abies balsamea,"Fir, Balsam",Balsam fir,CEL OTHER
ABCO,Abies concolor,"Fir, White",White fir,CEL OTHER
ABHO,Abies holophylla,"Fir, Manchurian",Manchurian fir,CEL OTHER
AC,Acer species,Maple,Maple,ACPL
ACBU,Acer buergerianum,"Maple, Trident",Trident maple,ACPL
ACCA,Acer campestre,"Maple, Hedge",Hedge maple,ACPL
ACGI,Acer ginnala,"Maple, Amur",Amur maple,ACPL
ACNE,Acer negundo,Boxelder,Boxelder,ACPL
ACPA,Acer palmatum,"Maple, Japanese",Japanese maple,ACPL
ACPE,Acer pensylvanicum,"Maple, Striped",Striped maple,ACPL
ACPL,Acer platanoides,"Maple, Norway",Norway maple,ACPL
ACPLCO,Acer platanoides 'columnare',"Maple, Columnare",Columnare maple,ACPL
ACPLCR,Acer platanoides 'Crimson king',"Maple, Crimson king",Crimson king maple,ACPL
ACPLSC,Acer platanoides 'Schwedleri',"Maple, Norway 'Schwedler'",Norway maple 'Schwedler',ACPL
ACPS,Acer pseudoplatanus,"Maple, Sycamore",Sycamore maple,ACPL
ACRU,Acer rubrum,"Maple, Red",Red maple,ACRU
ACRUAR,Acer rubrum 'armstrong',"Maple, Scarlet",Scarlet maple,ACRU
ACRUOC,Acer rubrum 'October glory',"Maple, October glory red",October glory red maple,ACRU
ACSA1,Acer saccharinum,"Maple, Silver",Silver maple,ACSA1
ACSA2,Acer saccharum,"Maple, Sugar",Sugar maple,ACSA2
ACSA2GR,Acer saccharum 'green mountain',"Maple, Green mountain sugar",Green mountain sugar maple,ACSA2
AECA,Aesculus x carnea,"Horsechestnut, Red",Red horsechestnut,AEHI
AEHI,Aesculus hippocastanum,Horsechestnut,Horsechestnut,AEHI
AEOC,Aesculus octandra,"Buckeye, Yellow",Yellow buckeye,AEHI
AIAL,Ailanthus altissima,"Heaven, Tree of",Tree of heaven,BDL OTHER
ALJU,Albizia julibrissin,Mimosa,Mimosa,BDS OTHER
AM,Amelanchier spp,"Berry, Service",Service berry,BDS OTHER
AMAR,Amelanchier arborea,"Serviceberry, Downy",Downy serviceberry,BDS OTHER
AMCA,Amelanchier canadensis,"Serviceberry, Eastern",Eastern serviceberry,BDS OTHER
ARAR,Araucaria araucana,"Tree, Monkeypuzzle",Monkeypuzzle tree,CEL OTHER
AREX,Araucaria excelsa,"Pine, Norfolk island",Norfolk island pine,CEL OTHER
ASTR,Asimina triloba,Pawpaw,Pawpaw,BDS OTHER
BDL OTHER,Broadleaf Deciduous Large Other,"Other, Broadleaf Deciduous Large",Broadleaf Deciduous Large Other,ZESE
BDM OTHER,Broadleaf Deciduous Medium Other,"Other, Broadleaf Deciduous Medium",Broadleaf Deciduous Medium Other,ACRU
BDS OTHER,Broadleaf Deciduous Small Other,"Other, Broadleaf Deciduous Small",Broadleaf Deciduous Small Other,PRSE2
BE,Betula species,Birch,Birch,BDM OTHER
BEAL,Betula alleghaniensis,"Birch, Yellow",Yellow birch,BDL OTHER
BEL OTHER,Broadleaf Evergreen Large Other,"Other, Broadleaf Evergreen Large",Broadleaf Evergreen Large Other,ULPA99
BELE,Betula lenta,"Birch, Black",Black birch,BDL OTHER
BEM OTHER,Broadleaf Evergreen Medium Other,"Other, Broadleaf Evergreen Medium",Broadleaf Evergreen Medium Other,MAGR
BENI,Betula nigra,"Birch, River",River birch,BDL OTHER
BEPA,Betula papyrifera,"Birch, Paper",Paper birch,BDL OTHER
BEPE,Betula pendula,"Birch, European white",European white birch,BDM OTHER
BEPEGR,Betula pendula gracilis,"Birch, Weeping",Weeping birch,BDM OTHER
BEPO,Betula populifolia,"Birch, Gray",Gray birch,BDM OTHER
BES OTHER,Broadleaf Evergreen Small Other,"Other, Broadleaf Evergreen Small",Broadleaf Evergreen Small Other,ILOP
BRPA,Broussonetia papyrifera,"Mulberry, Paper",Paper mulberry,BDM OTHER
BUCA,Butia capitata,"Palm, Jelly",Jelly palm,BUCA
CA1,Carya species,Hickory,Hickory,BDL OTHER
CABE,Carpinus betulus,"Hornbeam, European",European hornbeam,BDM OTHER
CABI,Catalpa bignonioides,"Catalpa, Southern",Southern catalpa,BDM OTHER
CACA,Carpinus caroliniana,"Hornbeam, American",American hornbeam,BDM OTHER
CACO,Carya cordiformis,"Hickory, Bitternut",Bitternut hickory,BDL OTHER
CADE,Castanea dentata,"Chestnut, American",American chestnut,BDL OTHER
CAEQ,Casuarina equisetifolia,Ironwood,Ironwood,CEL OTHER
CAGL,Carya glabra,"Hickory, Pignut",Pignut hickory,BDL OTHER
CAJA,Carpinus japonica,"Hornbeam, Japanese",Japanese hornbeam,BDM OTHER
CAMO,Castanea mollissima,"Chestnut, Chinese",Chinese chestnut,BDM OTHER
CAOV,Carya ovata,"Hickory, Shagbark",Shagbark hickory,BDL OTHER
CAPU,Castanea pumila,"Chinkapin, Alleghany",Alleghany chinkapin,BDS OTHER
CASP,Catalpa speciosa,"Catalpa, Northern",Northern catalpa,BDM OTHER
CATE,Carya texana,"Hickory, Black",Black hickory,BDL OTHER
CATO,Carya tomentosa,"Hickory, Mockernut",Mockernut hickory,BDL OTHER
CEAT,Cedrus atlantica,"Cedar, Atlas",Atlas cedar,CEM OTHER
CECA,Cercis canadensis,"Redbud, Eastern",Eastern redbud,BDS OTHER
CEDE,Cedrus deodara,"Cedar, Deodar",Deodar cedar,CEL OTHER
CEJA,Cercidiphyllum japonicum,"Tree, Katsura",Katsura tree,BDM OTHER
CEL OTHER,Conifer Evergreen Large Other,"Other, Conifer Evergreen Large",Conifer Evergreen Large Other,PIST
CEM OTHER,Conifer Evergreen Medium Other,"Other, Conifer Evergreen Medium",Conifer Evergreen Medium Other,JUVI
CEOC,Celtis occidentalis,"Hackberry, Northern",Northern hackberry,BDL OTHER
CES OTHER,Conifer Evergreen Small Other,"Other, Conifer Evergreen Small",Conifer Evergreen Small Other,PICO5
CHTH,Chamaecyparis thyoides,"Cedar, Atlantic white",Atlantic white cedar,CEM OTHER
CISP,Citrus species,Citrus,Citrus,BES OTHER
CLLU,Cladrastis kentukea,Yellowwood,Yellowwood,BDM OTHER
CO1,Cornus species,Dogwood,Dogwood,BDS OTHER
CO2,Corylus species,Hazelnut,Hazelnut,BDS OTHER
COCO2,Corylus colurna,"Hazelnut, Turkish",Turkish hazelnut,BDL OTHER
COFL,Cornus florida,"Dogwood, Flowering",Flowering dogwood,BDS OTHER
COKO,Cornus kousa,"Dogwood, Kousa",Kousa dogwood,BDS OTHER
COMA,Cornus mas,"Cherry, Cornelian",Cornelian cherry,BDS OTHER
CR,Crataegus species,Hawthorn,Hawthorn,BDS OTHER
CRCR,Crataegus crus-galli,"Hawthorn, Cockspur",Cockspur hawthorn,BDS OTHER
CRJA,Cryptomeria japonica,"Cedar, Japanese red",Japanese red cedar,CEL OTHER
CRMO2,Crataegus mollis 'scheele',"Hawthorn, Arnold",Arnold hawthorn,BDS OTHER
CRPH,Crataegus phaenopyrum,"Hawthorn, Washington",Washington hawthorn,BDS OTHER
CRVI,Crataegus viridis 'Winter King',"Hawthorn, Green",Green hawthorn,BDS OTHER
CULE,x Cupressocyparis leylandii,"Cypress, Leyland",Leyland cypress,CEL OTHER
DIVI,Diospyros virginiana,"Persimmon, Common",Common persimmon,BDM OTHER
ELAN,Elaeagnus angustifolia,"Olive, Russian",Russian olive,BDS OTHER
ELUM,Elaeagnus umbellata,"Olive, Autumn",Autumn olive,BES OTHER
EUUL,Eucommia ulmoides,"Tree, Hardy rubber",Hardy rubber tree,BDL OTHER
FA,Fagus species,Beech,Beech,BDL OTHER
FAGR,Fagus grandifolia,"Beech, American",American beech,BDL OTHER
FASY,Fagus sylvatica,"Beech, European",European beech,BDL OTHER
FR,Fraxinus species,Ash,Ash,FRPE
FRAM,Fraxinus americana,"Ash, White",White ash,FRPE
FRCA,Fraxinus caroliniana,"Ash, Carolina",Carolina ash,FRPE
FRNI,Fraxinus nigra,"Ash, Black",Black ash,FRPE
FRPE,Fraxinus pennsylvanica,"Ash, Green",Green ash,FRPE
FRPES,Fraxinus pennsylvanica 'Summit',"Ash, Summit",Summit ash,FRPE
GIBI,Ginkgo biloba,Ginkgo,Ginkgo,GIBI
GIBI(F),"Gingko biloba, female","Ginkgo, Female",Female ginkgo,GIBI
GLTR,Gleditsia triacanthos,Honeylocust,Honeylocust,GLTR
GYDI,Gymnocladus dioicus,"Coffeetree, Kentucky",Kentucky coffeetree,BDL OTHER
HADI,Halesia diptera,"Silverbell, Two-wing",Two-wing silverbell,BDS OTHER
HAVI,Hamamelis virginiana,"Hazel, Witch",Witch hazel,BDS OTHER
HISY,Hibiscus syriacus,Rose-of-sharon,Rose-of-sharon,BDS OTHER
ILCA,Ilex cassine,Dahoon,Dahoon,BES OTHER
ILOP,Ilex opaca,"Holly, American",American holly,ILOP
ILSP,Ilex species,Holly,Holly,BES OTHER
JUCI,Juglans cinerea,Butternut,Butternut,BDL OTHER
JUNI,Juglans nigra,"Walnut, Black",Black walnut,BDL OTHER
JURE,Juglans regia,"Walnut, English",English walnut,BDL OTHER
JUVI,Juniperus virginiana,"Cedar, Eastern red",Eastern red cedar,JUVI
KOEL,Koelreuteria elegans,Flamegold,Flamegold,BDS OTHER
KOPA,Koelreuteria paniculata,"Tree, Goldenrain",Goldenrain tree,BDS OTHER
LADE,Larix decidua,"Larch, European",European larch,BDL OTHER
LISP,Ligustrum species,Privet,Privet,BES OTHER
