SPECIES,ZIPCODE,num,avg_diam,Presentation.Name
ACCA,10014,11,3.818181818,Hedge maple
ACPL,10034,53,17.71698113,Norway maple
ACPL,10032,34,17.11764706,Norway maple
ACPL,10030,37,19.59459459,Norway maple
ACPL,10033,12,10.91666667,Norway maple
ACPL,10003,13,7.384615385,Norway maple
ACPL,10021,25,5.92,Norway maple
ACPL,10128,21,8,Norway maple
ACPL,10016,25,7.16,Norway maple
ACPL,10009,23,6.913043478,Norway maple
ACPL,10028,15,5.466666667,Norway maple
ACPL,10040,12,12.91666667,Norway maple
ACPL,10027,15,6.733333333,Norway maple
ACPL,10011,33,13.75757576,Norway maple
ACPL,10029,13,7.846153846,Norway maple
ACPL,10031,39,11.02564103,Norway maple
ACPL,10024,67,13.04477612,Norway maple
ACPL,10002,11,12.45454545,Norway maple
ACPL,10025,30,12.96666667,Norway maple
ACRU,10029,15,9.466666667,Red maple
ACRU,10032,17,8.529411765,Red maple
ACRU,10035,27,8.111111111,Red maple
ACRU,10027,14,4.714285714,Red maple
ACRU,10021,16,6.75,Red maple
ACRU,10025,15,5,Red maple
ACRU,10023,15,5.4,Red maple
ACRU,10031,13,4.076923077,Red maple
ACSA1,10024,20,12.6,Silver maple
ACSA2,10029,11,13.36363636,Sugar maple
AIAL,10026,10,7.6,Tree of heaven
AM,10021,17,9.058823529,Service berry
CABE,10025,17,9,European hornbeam
CEOC,10014,41,4.073170732,Northern hackberry
CEOC,10025,12,5.416666667,Northern hackberry
CEOC,10027,13,2.923076923,Northern hackberry
CEOC,10024,10,4.6,Northern hackberry
CEOC,10030,12,5,Northern hackberry
CEOC,10011,11,4.727272727,Northern hackberry
COFL,10009,11,1.454545455,Flowering dogwood
CR,10023,15,6,Hawthorn
CR,10022,54,8.240740741,Hawthorn
CR,10025,26,4.884615385,Hawthorn
CR,10026,12,4.166666667,Hawthorn
CR,10128,18,5.722222222,Hawthorn
CR,10027,14,3.714285714,Hawthorn
CR,10021,44,5.522727273,Hawthorn
CR,10028,12,3.833333333,Hawthorn
CR,10032,14,4.714285714,Hawthorn
CR,10024,27,4.37037037,Hawthorn
FRPE,10025,51,6.607843137,Green ash
FRPE,10128,25,7.4,Green ash
FRPE,10037,10,6.1,Green ash
FRPE,10011,42,8.238095238,Green ash
FRPE,10016,43,7.790697674,Green ash
FRPE,10024,52,9.096153846,Green ash
FRPE,10014,84,7.488095238,Green ash
FRPE,10030,25,11.16,Green ash
FRPE,10021,53,9.169811321,Green ash
FRPE,10033,10,6,Green ash
FRPE,10023,18,8.555555556,Green ash
FRPE,10034,17,8.941176471,Green ash
FRPE,10027,64,8.265625,Green ash
FRPE,10009,56,7.517857143,Green ash
FRPE,10003,18,6.611111111,Green ash
FRPE,10035,19,8.894736842,Green ash
FRPE,10031,59,7.881355932,Green ash
FRPE,10029,19,9.631578947,Green ash
FRPE,10028,16,6.8125,Green ash
