id,abbr,name,neighbors
01,AL,Alabama,"Florida, Georgia, Mississippi, Tennessee"
02,AK,Alaska,
04,AZ,Arizona,"California, Colorado, Nevada, New Mexico, Utah"
05,AR,Arkansas,"Louisiana, Mississippi, Missouri, Oklahoma, Tennessee, Texas"
06,CA,California,"Arizona, Nevada, Oregon"
08,CO,Colorado,"Arizona, Kansas, Nebraska, New Mexico, Oklahoma, Utah, Wyoming"
09,CT,Connecticut,"Massachusetts, New York, Rhode Island"
10,DE,Delaware,"Maryland, New Jersey, Pennsylvania"
11,DC,District of Columbia,"Maryland, New Jersey, Pennsylvania"
12,FL,Florida,"Alabama, Georgia"
13,GA,Georgia,"Alabama, Florida, North Carolina, South Carolina, Tennessee"
15,HI,Hawaii,
16,ID,Idaho,"Montana, Nevada, Oregon, Utah, Washington, Wyoming"
17,IL,Illinois,"Indiana, Iowa, Michigan, Kentucky, Missouri, Wisconsin"
18,IN,Indiana,"Illinois, Kentucky, Michigan, Ohio"
19,IA,Iowa,"Illinois, Minnesota, Missouri, Nebraska, South Dakota, Wisconsin"
20,KS,Kansas,"Colorado, Missouri, Nebraska, Oklahoma"
21,KY,Kentucky,"Illinois, Indiana, Missouri, Ohio, Tennessee, Virginia, West Virginia"
22,LA,Louisiana,"Arkansas, Mississippi, Texas"
23,ME,Maine,New Hampshire
24,MD,Maryland,"Delaware, Pennsylvania, Virginia, West Virginia"
25,MA,Massachusetts,"Connecticut, New Hampshire, New York, Rhode Island, Vermont"
26,MI,Michigan,"Illinois, Indiana, Ohio, Wisconsin"
27,MN,Minnesota,"Iowa, North Dakota, South Dakota, Wisconsin"
28,MS,Mississippi,"Alabama, Arkansas, Louisiana, Tennessee"
29,MO,Missouri,"Arkansas, Illinois, Iowa, Kansas, Kentucky, Nebraska, Oklahoma, Tennessee"
30,MT,Montana,"Idaho, North Dakota, South Dakota, Wyoming"
31,NE,Nebraska,"Colorado, Iowa, Kansas, Missouri, South Dakota, Wyoming"
32,NV,Nevada,"Arizona, California, Idaho, Oregon, Utah"
33,NH,New Hampshire,"Maine, Massachusetts, Vermont"
34,NJ,New Jersey,"Delaware, New York, Pennsylvania"
35,NM,New Mexico,"Arizona, Colorado, Oklahoma, Texas, Utah"
36,NY,New York,"Connecticut, Massachusetts, New Jersey, Pennsylvania, Vermont"
37,NC,North Carolina,"Georgia, South Carolina, Tennessee, Virginia"
38,ND,North Dakota,"Minnesota, Montana, South Dakota"
39,OH,Ohio,"Indiana, Kentucky, Michigan, Pennsylvania, West Virginia"
40,OK,Oklahoma,"Arkansas, Colorado, Kansas, Missouri, New Mexico, Texas"
41,OR,Oregon,"California, Idaho, Nevada, Washington"
42,PA,Pennsylvania,"Delaware, Maryland, New Jersey, New York, Ohio, West Virginia"
44,RI,Rhode Island,"Connecticut, Massachusetts"
45,SC,South Carolina,"Georgia, North Carolina"
46,SD,South Dakota,"Iowa, Minnesota, Montana, Nebraska, North Dakota, Wyoming"
47,TN,Tennessee,"Alabama, Arkansas, Georgia, Kentucky, Mississippi, Missouri, North Carolina, Virginia"
48,TX,Texas,"Arkansas, Louisiana, New Mexico, Oklahoma"
49,UT,Utah,"Arizona, Colorado, Idaho, Nevada, New Mexico, Wyoming"
50,VT,Vermont,"Massachusetts, New Hampshire, New York"
51,VA,Virginia,"Kentucky, Maryland, North Carolina, Tennessee, West Virginia"
53,WA,Washington,"Idaho, Oregon"
54,WV,West Virginia,"Kentucky, Maryland, Ohio, Pennsylvania, Virginia"
55,WI,Wisconsin,"Illinois, Iowa, Michigan, Minnesota"
56,WY,Wyoming,"Colorado, Idaho, Montana, Nebraska, South Dakota, Utah"
