Gender,Stat,Age,5th,10th,25th,50th,75th,90th,95th
F,H,0,46.08383,46.76056,47.89133,49.1477,50.40407,51.53484,52.21157
F,H,1,50.4728,51.18277,52.3691,53.6872,55.0053,56.19163,56.9016
F,H,2,53.71811,54.45785,55.69393,57.0673,58.44067,59.67675,60.41649
F,H,3,56.34038,57.10515,58.38306,59.8029,61.22274,62.50065,63.26542
F,H,4,58.52969,59.31604,60.63,62.0899,63.5498,64.86376,65.65011
F,H,5,60.38286,61.18844,62.53451,64.0301,65.52569,66.87176,67.67734
F,H,6,62.00319,62.82658,64.20243,65.7311,67.25977,68.63562,69.45901
F,H,7,63.47888,64.32005,65.72562,67.2873,68.84898,70.25455,71.09572
F,H,8,64.85973,65.71894,67.15464,68.7498,70.34496,71.78066,72.63987
F,H,9,66.16996,67.0476,68.51411,70.1435,71.77289,73.2394,74.11704
F,H,10,67.42304,68.31951,69.81746,71.4818,73.14614,74.64409,75.54056
F,H,11,68.62467,69.54048,71.07075,72.771,74.47125,76.00152,76.91733
F,H,12,69.77953,70.71503,72.2782,74.015,75.7518,77.31497,78.25047
F,H,13,70.89228,71.84762,73.44396,75.2176,76.99124,78.58758,79.54292
F,H,14,71.96683,72.94195,74.57133,76.3817,78.19207,79.82145,80.79657
F,H,15,73.00432,73.99947,75.66234,77.5099,79.35746,81.02033,82.01548
F,H,16,74.00908,75.0243,76.72069,78.6055,80.49031,82.1867,83.20192
F,H,17,74.98475,76.01981,77.74936,79.671,81.59264,83.32219,84.35725
F,H,18,75.93146,76.98644,78.74927,80.7079,82.66653,84.42936,85.48434
F,H,19,76.8524,77.92712,79.72293,81.7182,83.71347,85.50928,86.584
F,H,20,77.74783,78.84242,80.67144,82.7036,84.73576,86.56478,87.65937
F,H,21,78.62035,79.73466,81.59662,83.6654,85.73418,87.59614,88.71045
F,H,22,79.47174,80.60531,82.49946,84.604,86.70854,88.60269,89.73626
F,H,23,80.3,81.453,83.3796,85.5202,87.6608,89.5874,90.7404
F,H,24,81.10777,82.28006,84.23889,86.4153,88.59171,90.55054,91.72283
F,W,0,2.532145,2.677725,2.932331,3.2322,3.55035,3.852667,4.040959
F,W,1,3.326209,3.502477,3.814261,4.1873,4.590075,4.979539,5.225436
F,W,2,4.13172,4.335355,4.695944,5.1282,5.596104,6.049862,6.337067
F,W,3,4.745935,4.970282,5.368044,5.8458,6.364222,6.868317,7.188096
F,W,4,5.238858,5.480078,5.90832,6.4237,6.984281,7.530756,7.87815
F,W,5,5.642267,5.897544,6.351329,6.8985,7.495018,8.077933,8.449225
F,W,6,5.97888,6.246243,6.72212,7.297,7.925102,8.540297,8.93289
F,W,7,6.267836,6.546104,7.042017,7.6422,8.299352,8.94444,9.356859
F,W,8,6.522061,6.810403,7.324907,7.9487,8.633118,9.306424,9.737639
F,W,9,6.750018,7.047717,7.579535,8.2254,8.935413,9.63531,10.08429
F,W,10,6.958886,7.265345,7.813398,8.48,9.214115,9.939115,10.4049
F,W,11,7.15483,7.46957,8.032975,8.7192,9.476145,10.22495,10.7067
F,W,12,7.342376,7.665043,8.24313,8.9481,9.726833,10.49835,10.99531
F,W,13,7.524538,7.854825,8.446994,9.1699,9.969431,10.76258,11.27401
F,W,14,7.70313,8.040838,8.646697,9.387,10.20666,11.02071,11.54612
F,W,15,7.879566,8.224501,8.843658,9.6008,10.43988,11.27403,11.81285
F,W,16,8.054179,8.406286,9.038616,9.8124,10.67062,11.52454,12.07652
F,W,17,8.227652,8.586898,9.232317,10.0226,10.89976,11.77319,12.33814
F,W,18,8.399952,8.766325,9.424795,10.2315,11.12747,12.02024,12.59804
F,W,19,8.570832,8.944403,9.616043,10.4393,11.3542,12.26642,12.85712
F,W,20,8.74076,9.121584,9.806487,10.6464,11.58033,12.51209,13.11573
F,W,21,8.909946,9.298148,9.996544,10.8534,11.80669,12.75831,13.37511
F,W,22,9.078906,9.474611,10.18672,11.0608,12.03376,13.00554,13.6357
F,W,23,9.247632,9.651002,10.37713,11.2688,12.26184,13.25422,13.89801
F,W,24,9.416516,9.827655,10.56799,11.4775,12.49092,13.50419,14.16181
M,H,0,46.77032,47.45809,48.60732,49.8842,51.16108,52.31031,52.99808
M,H,1,51.52262,52.2298,53.41147,54.7244,56.03733,57.219,57.92618
M,H,2,55.13442,55.8612,57.0756,58.4249,59.7742,60.9886,61.71538
M,H,3,58.06652,58.80924,60.0503,61.4292,62.8081,64.04916,64.79188
M,H,4,60.46344,61.21939,62.48254,63.886,65.28946,66.55261,67.30856
M,H,5,62.42946,63.19658,64.4784,65.9026,67.3268,68.60862,69.37574
M,H,6,64.10314,64.88071,66.18,67.6236,69.0672,70.36649,71.14406
M,H,7,65.5934,66.38216,67.70013,69.1645,70.62887,71.94684,72.7356
M,H,8,66.97163,67.77291,69.1118,70.5994,72.087,73.42589,74.22717
M,H,9,68.27886,69.09384,70.45564,71.9687,73.48176,74.84356,75.65854
M,H,10,69.52286,70.35297,71.74005,73.2812,74.82235,76.20943,77.03954
M,H,11,70.70738,71.55363,72.96769,74.5388,76.10991,77.52397,78.37022
M,H,12,71.84023,72.70353,74.14605,75.7488,77.35155,78.79407,79.65737
M,H,13,72.92816,73.80954,75.28228,76.9186,78.55492,80.02766,80.90904
M,H,14,73.97491,74.87492,76.37879,78.0497,79.72061,81.22448,82.12449
M,H,15,74.98384,75.9031,77.43914,79.1458,80.85246,82.3885,83.30776
M,H,16,75.96033,76.89925,78.46814,80.2113,81.95446,83.52335,84.46227
M,H,17,76.90533,77.86466,79.46765,81.2487,83.02975,84.63274,85.59207
M,H,18,77.8221,78.80202,80.43942,82.2587,84.07798,85.71538,86.6953
M,H,19,78.70973,79.71074,81.38338,83.2418,85.10022,86.77286,87.77387
M,H,20,79.57106,80.59338,82.30162,84.1996,86.09758,87.80582,88.82814
M,H,21,80.40724,81.45143,83.19621,85.1348,87.07339,88.81817,89.86236
M,H,22,81.22133,82.28734,84.06859,86.0477,88.02681,89.80806,90.87407
M,H,23,82.01447,83.1026,84.92082,86.941,88.96118,90.7794,91.86753
M,H,24,82.79087,83.9008,85.75545,87.8161,89.87675,91.7314,92.84133
M,W,0,2.603994,2.757621,3.027282,3.3464,3.686659,4.011499,4.214527
M,W,1,3.566165,3.752603,4.080792,4.4709,4.889123,5.290726,5.542933
M,W,2,4.522344,4.738362,5.117754,5.5675,6.048448,6.509323,6.798348
M,W,3,5.240269,5.475519,5.888058,6.3762,6.897306,7.395936,7.708329
M,W,4,5.797135,6.046988,6.484777,7.0023,7.554286,8.082087,8.412602
M,W,5,6.244465,6.507016,6.966941,7.5105,8.090161,8.644384,8.991445
M,W,6,6.611702,6.885864,7.366195,7.934,8.539707,9.119041,9.481939
M,W,7,6.922131,7.207057,7.706413,8.297,8.927371,9.530656,9.908738
M,W,8,7.19127,7.486158,8.003205,8.6151,9.268678,9.894622,10.28713
M,W,9,7.431644,7.735837,8.26946,8.9014,9.5769,10.22433,10.63055
M,W,10,7.651572,7.964565,8.5139,9.1649,9.861313,10.5293,10.94868
M,W,11,7.857229,8.178615,8.742959,9.4122,10.12867,10.81641,11.24845
M,W,12,8.052577,8.382077,8.960956,9.6479,10.38387,11.09087,11.53526
M,W,13,8.239848,8.577324,9.170505,9.8749,10.63014,11.35618,11.81281
